customer_id,segment,segment_strategy,churn_probability,churn_strategy
AA-10315,Low Value,💰 High potential – low frequency but high order value,0.96,🚨 High churn risk – send personalized retention offer
AA-10375,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AA-10480,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
AA-10645,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AB-10015,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
AB-10060,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AB-10105,At Risk,🚨 Immediate re-engagement – high churn risk,0.0,✅ Low churn risk – maintain engagement
AB-10150,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
AB-10165,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AB-10255,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
AB-10600,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
AC-10420,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.98,🚨 High churn risk – send personalized retention offer
AC-10450,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AC-10615,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AC-10660,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
AD-10180,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AF-10870,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AF-10885,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
AG-10270,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
AG-10300,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
AG-10330,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.03,✅ Low churn risk – maintain engagement
AG-10390,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
AG-10495,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AG-10525,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
AG-10675,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AG-10765,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AG-10900,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AH-10030,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AH-10075,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AH-10120,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
AH-10195,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
AH-10210,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AH-10465,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
AH-10585,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AH-10690,Low Value,💰 High potential – low frequency but high order value,1.0,🚨 High churn risk – send personalized retention offer
AI-10855,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AJ-10780,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AJ-10795,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AJ-10945,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AJ-10960,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AM-10360,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AM-10705,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
AO-10810,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",1.0,🚨 High churn risk – send personalized retention offer
AP-10720,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
AP-10915,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AR-10345,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AR-10405,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AR-10510,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AR-10540,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
AR-10570,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.98,🚨 High churn risk – send personalized retention offer
AR-10825,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AS-10045,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AS-10090,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AS-10135,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
AS-10225,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AS-10240,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.98,🚨 High churn risk – send personalized retention offer
AS-10285,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AS-10630,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AT-10435,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AT-10735,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
AW-10840,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AW-10930,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
AY-10555,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
AZ-10750,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
BB-10990,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BB-11545,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
BC-11125,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.91,🚨 High churn risk – send personalized retention offer
BD-11320,Low Value,💰 High potential – low frequency but high order value,0.01,✅ Low churn risk – maintain engagement
BD-11500,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
BD-11560,Medium Value,"⚡ Upsell/cross-sell opportunities – high frequency, moderate value",0.99,🚨 High churn risk – send personalized retention offer
BD-11605,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BD-11620,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
BD-11635,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
BD-11725,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BD-11770,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.99,🚨 High churn risk – send personalized retention offer
BE-11335,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
BE-11410,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BE-11455,High Value,🎯 Target with loyalty rewards to maintain strong sales,1.0,🚨 High churn risk – send personalized retention offer
BF-10975,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.03,✅ Low churn risk – maintain engagement
BF-11005,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BF-11020,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BF-11080,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.02,✅ Low churn risk – maintain engagement
BF-11170,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
BF-11215,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BF-11275,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.01,✅ Low churn risk – maintain engagement
BG-11035,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BG-11695,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BG-11740,High Value,🎯 Target with loyalty rewards to maintain strong sales,0.0,✅ Low churn risk – maintain engagement
BH-11710,Low Value,💰 High potential – low frequency but high order value,0.0,✅ Low churn risk – maintain engagement
